text,true_label,predicted_label,probability,label_confidence,margin_to_threshold
"After seeing Forever Hollywood, it would be natural to want to see a John Waters film. At least, one get to say that they have joined the legions of cinema cognoscenti who have experienced the unique cinematic stylings of perhaps the best known non-mainstream director. It's worth the effort, and PF is a lot better than Eraserhead,and there is a certain campiness about his films which his followers find addicting.",negative,positive,0.999032,0.999032,0.539032
"Yes,the movie is not a piece of art but the first time I watched it I was 10 years old,my parents were out and I stayed home with my two brothers.It was May 1970(I know that because I found a note about the cycle of horror movies that one network had).It's one of the most vivid memories I have with the guys.We ended all in one bed and covered up to the head! Our very first horror movie! We kept talking about it for years and laughing about the moment.Those were horror movies.Nowadays horror movies are always the same.Or was it better when we were kids enjoying without analyzing the plot and the cast and the dialogs? Most sure it was that.But for me this is a great movie!",negative,positive,0.998948,0.998948,0.538948
This was a very nice concert by the one and only MJ. The choreography was excellent and the costumes were decent. The vocals were okay. i have to admit that his vocals were crap on Human Nature and Billie Jean. You couldn't hear him half the time. The other songs make up for the singing. The Highlights of the show are: Jam Smooth Criminal I Just Can't Stop Loving You She's Out Of My Life Thriller Billie Jean (The Dancing Not The Singing) Black or White Man in the Mirror The concert was almost perfect. If it was anybody but Mj it would have been a 9. It is a must see. I wish I was born then so I could have gotten a ticket to the best concert of 1992.,negative,positive,0.998769,0.998769,0.538769
"Actually I'll admit I'm a political junkie, so this resonated with me, but the erratic nature of Ms. Green (yes I know what they did to her), but the ending was such a copout and totally inconsistent with the film itself.<br /><br />Why can't Barry L and crew just left us wondering what he was going to do? Let us debate it.<br /><br />Instead they have this ""oh I'm not worthy"" bullshit ending and it just shows that when the chips were down it's better to leave the table instead of doubling down. Stop the Disney ending and putting a bow on it. Life isn't easy, they should have had the courage to give the main character some backbone.<br /><br />We had to listen to the rhetoric the entire movie... and then it turned sniveling and the stupid, inane behavior by Ms. Green (when the crap was out of her system) just made for a ridiculous near end of the movie that was icing on the cake.",positive,negative,0.001251,0.998749,0.458749
"""For a Squadron Leader - normally the only guy trained and equipped for navigation in a squadron and very hard to replace - to risk an expensive plane and himself to pick up a crashed fellow pilot, no matter how close a friend he is, in the face of oncoming enemy troops, is hard to believe, especially when they both have to share a cramped Spitfire cockpit - two into a Skyraider, OK, but a Spit?! Come on, this part of the film is a Biggles adventure, not fitting a film that one is supposed to take seriously!"" as said by Tord S Eriksson (Gothenburg, Sweden) is rubbish. Not at all Biggles. One true story of the war comes to mind of two grounded spit pilots, who planned and flew (illegally) a strafing mission over France. One had to crash land and his friend landed his spit under fire, while German infantry was moving in on them, and flew them both out of there. In a spit. They were BOTH severely injured in former fights, one had an artificial leg from the knee down. Now that may sound like something out of Bigles, but it happened. Ill get sources if needed",positive,negative,0.001251,0.998749,0.458749
"I loved the first ""American Graffiti"" with all my heart and soul that I considered it to be the best movie about rock n' roll along with being the best teenager flick I've ever seen. The first film spawned the careers of George Lucas who would later do the blockbuster epic ""Star Wars"" before doing the prequels two decades later while making Richard Dreyfuss a star in Jaws, Close Encounters of the Third Kind and other films as well.<br /><br />Somehow without those two, the magic died off.<br /><br />""More American Graffiti"" shows audiences what happened to the rest of the characters later on in the sixties where Steve (Ron Howard) and Laurie (Cindy Williams) are protesting against the Vietnam War while their friend Terry ""The Toad"" Fields (Charles Martin Smith) is in the war himself and trying to get out. John Milner (Paul Le Mat) is still the hot drag racer in California where he never quite left home. The rest of the supporting actors in the film from Candy Clark's Debbie (Terry's Girlfriend), to the Pharaoh's gang members, along with Harrison Ford and others really don't do much. The original film showed teenagers cruising the streets without any bloodshed with the early music of rock n' roll from Buddy Holly, The Fleetwoods, Chuck Berry, Fats Domino, Bill Haley and the Comets, Buddy Knox and more that brought back the nostalgia bug in classic music. The soundtrack for ""More American Graffiti"" is a mixture of rock, soul, country, hippie music, and whatever fitted the mood during the late 60's of protesting, drugs, sacrifices and more.<br /><br />After watching ""More American Graffiti"" it looked like it wanted to show audience members what happened after the title epilogue of the four main characters in the first film (with the exception of Dreyfuss's character) where it wasn't necessary. This film wasn't necessary either as I was glad to see that neither Lucas or Dreyfuss moved on to bigger and better projects.",negative,positive,0.998725,0.998725,0.538725
"This movie is an evolutionary piece - from Terminator to Robocop .<br /><br />Stan Winston did the SPFX !<br /><br />In this film, a scientist working in a sinister robotics company with a really creepy boss(they always are) gets is killed by them in a horrible lab explosion and has his brain placed inside an indestructible robot body .<br /><br />The rest of this movie goes on with a romance angle as this Cyborg/Man regains consciousness and wreaks havoc while trying to communicate with his wife, played by the gorgeous(back then in 1986) Terri Austin . (He tries to reconnect with his old life, like in that scene in RoboCop)<br /><br />The rest of this movie is about breaking things, while trying to defeat the evil his evil boss from recapturing him for some ill-defined 'turn humans into cyborgs' project .<br /><br />This film pays homage to previous movies like THE DAY THE EARTH STOOD STILL - - as the cyborg breaks free like the giant robot Gort does .<br /><br />Except for the 'Frankenstein Suite' designed by Stan Winston, this movie's production values are typically Canadian: SLEAZY ! ! <br /><br />Pam Grier stars in this film as an hired killer-commando, a cheap role of the likes she was doing so much of during the 80's .<br /><br />As for a Sci-Fi Horror B movie, out of 4 Stars, this film ranks about a <3",positive,negative,0.001279,0.998721,0.458721
"I loved this movie when it first came out(but i was just 12 years old then - and I had forgotten this film existed until one day I found a used copy for sale at a gas station. I bought it and I couldn't wait to watch this film that had I loved as a kid, and then as I saw this film again many years later,it hit me.... Why in the world did I like this film as a Kid, watching it again as an adult I realized that this film is terrible. The saddest part about this film is that they had everything in place to make the greatest western ever and they blew it!!! the costumes are perfect,good actors, there are 2 music scores the orchestrail score is wonderful, and keeps with the classic spirit of the old timey Lone Ranger alive, the second score is a series of songs by country music artest like Merle Haggerd, and The Statler Brothers and those songs like ""The Man in the Mask"" are so bad that they are funny. This movies Strongest point is that it had a Briliant Storyline, and one of the best Western plots ever, and for a while its fun to watch as John Reid is nursed back to health,after he and his fellow Rangers are ambushed.Its fun to see him grow into his new life and Identity as the Lone Ranger,as he concels his identity, and goes on a revenge run to get the gang responsible for killing his brother and all his fellow rangers to whom he rode with. But unfortunatly,as good as the storyline is, its all ruined by Merle Haggard Narrating everything as you are watching it happen(for the love of God why did they do that?) between Merle Haggard's Narration and The Statler Brothers singing corny(stupid) songs like ""Ride little cowboy"" being playing in the backgound make this movie impossible to take serious. I would Love to see a really good producer take this same script and story and re-do this film right,because at the heart of this silly film is a great western.---I would descibe this film as a beautiful woman dress in the ugliest clothing. I give it 4 stars out of 10 --if your 12 years old, and dont know better, then you might love it.",negative,positive,0.998719,0.998719,0.538719
"This was Laurel and Hardy's last silent film for Roach Studios. However, since the public had a real thirst for ""talkies"", this same short was re-made by the team just a few years later with only a few small plot changes. LAUGHING GRAVY was essentially the same plot except that Stan and Ollie were trying to hide a cute puppy from their grouchy landlord--not a goat like in ANGORA LOVE. This whole goat angle is the worst part of the film. While you could understand the boys wanting to keep a cute little dog (after all, it is snowy outside), why exactly they bring a goat home is just contrived and pointless. According to the plot, the goat followed them home and so they got tired of shooing it away and kept it. Huh?! This just doesn't make any sense--if it had been a giraffe or a cow, would they have done the same thing?! Apart from being an unconvincing plot, the movie itself is pure Laurel and Hardy, with a familiar plot and familiar roles for the comedians. This film features quite a few laughs, but unfortunately isn't one of their better films to wrap up their silent careers. This aspect of their careers just seems to have ended with a whimper.",positive,negative,0.001349,0.998651,0.458651
"E. Elias Merhige's existentialist experiment in the enduring is definitely one hell of a boring watch. This is like something Alexander de Large was forced to watch in ""A Clockwork Orange."" But, despite just how unwatchable this film really is, it is a success.<br /><br />If you are reading this and have not already seen the film, then it is too late. For me, at least, the payoff (after 3 separate viewings with lots of break in between mind you) was seeing the list of characters *after* the story was told. That's when the simple message hit home. But i wonder if Merhige could have told a 5 minutes story in about 30, instead of 78.<br /><br />However, seeing as how the cast of credits is displayed prominently on the front page for this movie, the cat is already out of the bag and you surely will only appreciate this film if you appreciate existentialist film making from the early 20th century. Even then, you might puke.<br /><br />4/10 (but i commend Merhige for crafted a piece of art, even if it is unwatchable)",positive,negative,0.001414,0.998586,0.458586
"I enjoyed the beautiful scenery in this movie the first time I saw it when I was 9 . Dunderklumpen is kind of cute for kiddies in a corny way. It reminded me of HRPUFFINSTUFF on sat mornings, Its Swedish backdrops make it easy on the eyes . Don't expect older kids to be interested as the live action/animation is way behind the times and most older kids will get bored.This is definitely an under 10 age set movie and a nice bit of memories for those of us who were little kids in 1974.",negative,positive,0.998498,0.998498,0.538498
"This is one entertaining flick. I suggest you rent it, buy a couple quarts of rum, and invite the whole crew over for this one. My favorite parts were.1. the gunfights that were so well choreographed that John Woo himself was jealous, .2. The wonderful special effects .3. the Academy Award winning acting and .4. The fact that every single gangsta in the film seemed to be doing a bad ""Scarface"" impersonation. I mean, Master P as a cuban godfather! This is groundbreaking territory. And with well written dialogue including lines like ""the only difference between you and me Rico, is I'm alive and your dead,"" this movie is truly a masterpiece. Yeah right.",negative,positive,0.998426,0.998426,0.538426
"I saw this movie in 1956 and again on Cable a few days ago. The movie hasn't improved with age. Quite the opposite. It's a true spaghetti epic.<br /><br />The Trojans are heroic and likable; the Greeks are nasty, petty and sneaky.<br /><br />So what if Paris ran off with the King's wife? Hey...love is love.",negative,positive,0.998424,0.998424,0.538424
"Miles O'Keeffe once again assumes the role of the mighty Ator in this the first sequel to the original film.<br /><br />What can I say? - This pretty much represents B-Movie Nirvana! <br /><br />The plot is ludicrous, the script is terrible, the acting is hammy throughout, the special effects....well let's not even go there! - all in all this movie is a veritable delight! <br /><br />Highlights of the film include Ator and Thong (his mute companion, not his undergarments) being attacked by invisible assailants in a cave (certainly saved on the fx budget there!), Ator battling what has to be the most unconvincing giant snake ever committed to celluloid, and of course, the infamous hangliding scene! <br /><br />There's one question I have though......at the end of the movie we see a huge atomic explosion when Ator supposedly destroys the Geometric Nucleus (as the narrator tells us)......how in the hell did Ator destroy it and manage get out alive?! Did he fashion some form of primitive timer/detonator or something? <br /><br />Oh well, such an illogical ending really only adds to the movies overall charm - they just don't make them like this anymore!",positive,negative,0.001843,0.998157,0.458157
"This is another case of Hollywood Arrogance presuming to eclipse French Style. The original, Mon Pere ce heros, was one of the most charming films of 1991 so naturally the accountants in Hollywood thought they could hire Depardieu and phone the rest in. They did, however, take the precaution of hiring Francis Veber to write an English version albeit one utilising virtually every word of the original. Depardieu brings his Gallic charm and Katherine Heigl shows all the promise that is now paying off. The thing is that when the French make a sort of Lolita-lite they get away with it because the 'dirty French postcard' thinking works in their favour; here the Hollywood idea of lightweight subtlety is to have Depardieu (totally unaware that his daughter has let it be known he is actually her lover), prevailed upon to play and song 'something French', launch into a spirited version of Thank Heaven For Little Girls. See the original.",positive,negative,0.001863,0.998137,0.458137
"This has to be one of the all time greatest horror movies. Charles Band made the best movie of 96' in this little seen gem. Highly realistic and , incredibly stylised- with a visual flair David Fincher would envy, its not hard to see why Band went on to make such classics as 'Killjoy 2: Deliverance From Evil', 'The Regina Pierce Affair', 'Virgins of Sherwood Forest', and 'Timegate: Tales of the Saddle Tramps'.<br /><br />With a highly sophisticated story- a tiny body with a large head controls a family of weirdos who perform experiments on naked women, this movie may be a bit too much for younger viewers and is only for the most educated type of viewer, but for those who see it, Band is able to convey subtle messages about the human condition through his masterpiece. The head is symbolic of the lost love and longing for one's inner self that we all must face at one point or another, and for this reason i was able to engage with this film on a deeply personal level. Although many earlier critics have compared Band's film to Re-animator and other lesser works, this stands head and heels above the rest. It is gorier, but not pointlessly. The gore in this film is well crafted and used to enhance the storyline, rather than to just get a cheap shriek out of the audience. Also, the special effects in this film are absolutely top notch, easily the best work done in a horror film since... well... ever! The work in this film makes Savini's effects look like the work of a blind, limbless hobo.<br /><br />The only problem i have with this film is the copious amounts of full frontal nudity, which were ultimately unnecessary in achieving the composer's goal- to create a timeless epic that would forever go down in history as possibly the greatest film of all time. If it were not for this slight problem i would have given this film a perfect 10.",negative,positive,0.997995,0.997995,0.537995
"The film is somewhat entertaining, but the greatest feature is Shalom Harlow's laughable performance. It has been 4 years since this movie was released and hopefully Harlow has gone through more training. Perhaps she should stick to the more worldly, somewhat corruptive characters that she has generated in other performances.",negative,positive,0.997984,0.997984,0.537984
"This was obviously a low budget film. It shows in every scene. What is nice to see is where it was made. A lot of the film was shot in Columbia, CA, in the Sierra Nevada Mountains near Sonora, CA. Some of the film was also shot in Jamestown, CA, very near Columbia. There is a railroad museum in Jamestown and they used some of the old trains in the picture. ""High Noon"" was also shot in Jamestown, as was ""Back to the Future III"".",negative,positive,0.997982,0.997982,0.537982
"This version is very painful to watch. All of the acting is very stilted but especially that of Norma Shearer who is still acting as though she were in a silent movie instead of a talkie. Check out the 1937 version with Joan Crawford, Robert Montgomery and William Powell which is much more entertaining.",negative,positive,0.997892,0.997892,0.537892
"Last night I got to see an early preview screener of Prozac Nation. Because I love everything that Christina Ricci does I was very excited at first, but as the movie continued I started to wonder where it was going. Based on a true story, it is simply about Christina Ricci's character and her struggle with depression, drugs, friends and family as you can probably tell from the title. In my opinion this movie moved too fast, and it was way too dramatic. I would say there was a dramatic moment every five minutes, and the movie moved through her life extremely fast, and this left no room for us to connect with Christina Ricci's character. Christina Ricci's performance was fantastic as always but Jessica Lange stood out throughout the whole movie, and I believe this movie's success will be all because of her and Christina Ricci. I would rate this 4 out of 10 and I would suggest you rent this one or read the books by Elizabeth Wurtzel they are good and definitely worth checking out.",negative,positive,0.997845,0.997845,0.537845
"I can't understand why many seem to hate this.<br /><br />This movie ties together many of the overlapping settings of the historical and Biblical epics of the fifties, using set pieces, props, and costumes similar to those seen in other movies. Here, however, the story attempts to run through all of human history, with a frame story about the human race being on trial, with a guilty verdict meaning h-bombs will go off all over the world. The prosecutor is the devil, played with fiendish glee by Vincent Price. OK, so it's a little hokey calling the defender ""The Spirit of All Men,"" but I think that's one of the things that gives this movie a sense of period charm. The Spririt of Man is incidentally played quite well by Ronald Coleman, in his last film. It is also the last movie in which Groucho, Harpo, and Chico Marx all appear, but not together. Groucho plays Peiter Minuet buying Manhattan from the Indians, in a scene played purely for campy humor. Chico isn't funny at all as a monk who thinks the world is flat, and Harpo, we are told, is meant to be Isaac Newton, discovering gravity. Most of the other performances are well done, though.<br /><br />Other hokey things are that the trial is supposedly taking place in outer space, which is depicted as a region of clouds and blueness. There is something called ""The Great Clock of Outer Space,"" which, when striking midnight, may signal the end of the world.<br /><br />But at its heart, the movie addresses the problems of WMDs and the eternal question of whether Man is basically good, or basically evil; and poses it in what I think is an interesting way. Also, anyone who likes the look of costume epics of the fifties should like the look of this movie.",negative,positive,0.997842,0.997842,0.537842
"This is not so much of a review as it is a testament that it has been proven, yet again, that the Academy rewards money, not artistic accomplishment. And I must say I am saddened that this usually artistic and intelligent band of imbd members have left this off the top 250. Boogie Nights is powerful, raw, and gutsy through script, direction and acting. Very few movies can claim this triple crown.",positive,negative,0.002208,0.997792,0.457792
"Trekkies is really not a movie about Star Trek fandom. It's a freak show about those Star Trek fans who have no sense of reality. As a freak show, it's fine. But it is a mistake to think that this movie gives you an insight into Star Trek fans. Most Star Trek fans cringe at what this movie shows.",negative,positive,0.997679,0.997679,0.537679
"What's the point of this messages if not to discuss and share thoughts about the next season... Here is my forecast: 1. The hatch was indeed blown, but somehow everybody inside survived. Buts lets see about that. 2. The episode at the end with the tent is an observation team monitoring the tracking device installed on Desmonds boat by Penny. Now that the magnetic shield around the island was lifted, the signal was picked up by the observation station and they are going to send a rescue mission. 3. After the destruction of the hatch, the island is not isolated any more, and other ships/airplanes are going to arrive 4. The others are finally going to share their secret with us poor observers<br /><br />Was it actually confirmed that there are going to be 4 seasons of LOST?<br /><br />Cheers Mike",positive,negative,0.002453,0.997547,0.457547
"This film should be called adventures in Cinemascope. It is like the screenwriter and director tooks the Cliff's Notes page 3 outline and decided that this would be a great vehicle for a film about the Italian Alps. Rock Hudson is pretty good here, but the dialogue bears no resemblance to Hemingway at all. This is a made up version of Hemingway. Hecht, the screenwriter, is a hack. Watch the 1932 version with Gary Cooper and Helen Hayes. That is great cinema and was made by someone who understood Hemingway and the war in Northern Italy. Gary Cooper is very, very good compared to his performance in For Whom the Bell Tolls where he is stiff as a board and thinks he is in a western.<br /><br />Anyway, if you are a Hemingway fan, do yourself a favor and do not watch this film. Your best bet is to get the unabridged audio CD and just listen to one of the greatest novels ever written.",negative,positive,0.997406,0.997406,0.537406
"I went to see this 3 nights ago here in Cork, Ireland. It was the world premiere of it, in the tiny cinema in the Triskel Arts Centre as part of the Cork Film Festival.<br /><br />I found ""Strange Fruit"" to be an excellent movie. It is a bit rough around the edges, but for a low-budget movie that is to be expected! In general the acting (particularly from the main lead Kent Faulcon) is wonderful, the cinematography and direction excellent, and the script hugely entertaining and thought-provoking, with some nice set-ups and witty dialogue.<br /><br />The ending was a bit sudden, with no conclusion given to characters and events once the finale came to its gripping end ... but perhaps that's what the filmmakers were going for? It certainly did make the movie more unsettling. I did like the fact that the main character never came to terms with his mother on screen: it leaves you wondering whether or not he ever will, as in real-life sometimes these things are never settled. This was a good choice, to leave it unresolved rather than sentimentally wrapping it up!<br /><br />Taut and suspenseful throughout, ""Strange Fruit"" is a hugely ambitious debut and I have high hopes for what the writer/director Kyle Schickner will unleash next. He - and his colleagues - are a talent worth watching.<br /><br />I hope ""Strange Fruit"" gets a wider release soon, as more people deserve to see this movie, an above-average thriller with some original and insightful twists on homophobia and racism in America's Deep South.<br /><br />Highly Recommended: 7/10",negative,positive,0.99725,0.99725,0.53725
"I can honestly say that ""Death Bed: The Bed That Eats"" was a much better movie than I expected. Allow me to clarify the plot in case the title of the film is a little too vague - there is a bed that eats. An evil bed. It eats people. Several unsuspecting women on an ""outing"" of some kind, stumble across the sinister ""sack"" and ultimately fall prey to it's hunger. The bed's devouring process consists of a yellow foam soaking people into it's inner... stomach acid; all complete with chewing sounds. This is a very strange cult flick and the only film from George Barry who had forgotten he made it until word-of-mouth of it's newfound cult status got back to him and he decided to release it on DVD. Not a bad movie at all, if you can look past the lousy acting and enjoy the hokey effects - the most laughable being the guy whose hands are eaten off and he is left with only plastic looking skeletal fingers... Pretty dreamlike tone to it, too, coming across as very surreal and aberrant - mainly the whole thing involving the artist behind the painting and the demonic back story of the bed. If you like bizarre no-budget, oddball flicks than definitely seek out ""Death Bed"".",positive,negative,0.002755,0.997245,0.457245
"It's not Citizen Kane, but it does deliver. Cleavage, and lots of it.<br /><br />Badly acted and directed, poorly scripted. Who cares? I didn't watch it for the dialog.",positive,negative,0.002826,0.997174,0.457174
"This was one of the worst Columbo episodes that I have seen, However, I am only in the second season.<br /><br />The typical Columbo activities are both amusing and irritating. His cigar ashes causing him trouble have been seen before, And the bit where he always identifies in some way with the murderer--in this case cooking ,Tho the scene on the TV cooking show distracted from the main theme.<br /><br />Also not explained was why the brother at the beginning of the show was cutting part of the wires of the mixer. The reason was never explained ,nor did it serve any purpose. But the part I disliked the most was the death of the bride to be . This was never explained and it is the main reason why I give this episode such a low grade.",positive,negative,0.002832,0.997168,0.457168
"No real plot, no character development, no Scorcese-level direction, but seriously, were you really expecting any of this? The only thing that matters is that this flick is absolutely hilarious, nearly on the same level as Borat. Sure, the ending drags a bit, but if Borat's cameo didn't crack you up, you must be the worst batty boy in the history of batty boys. Sacha Baron Cohen is possibly the greatest comedian ALIVE, and here he gets more laughs than Jude Law on a nude beach. I dare you not to laugh.<br /><br />If you can pull the ten-foot pole out of your behind for an hour and a half and just enjoy some well timed and extremely stupid jokes in a stupid story about a stupid character, see this stupid movie. You'll be glad you did. Keep it real!",positive,negative,0.002896,0.997104,0.457104
"What is he supposed to be? He was a kid in the past,... and the future? This movie had a lot of problems. Is he a ghost, or just a strong kid. Man,... what a piece of crap. I'm still confused. Also, is he supposed to be an abortion? Strange. Very strange. This movie will mess with your mind,... and it's not very scary,... just confusing. Why was he,... Where did,... What was the,... oh, who cares,... Milo isn't worth it,...<br /><br />My score: 10",positive,negative,0.003014,0.996986,0.456986
