text,true_label,predicted_label,probability,label_confidence,margin_to_threshold
"Barbara Stanwyck probably didn't think of it, but it is a relief to see her in a more becoming dark hairstyle (if it wasn't a wig) than the one she had to wear in ""Double Indemnity"" the year before. That film, while the premiere ""film noir"" and an all-around great film, gave her a great role, but oh, that hair. Here, she is more chic and certainly no femme fatal, but she is certainly a 40's woman. She has gotten used to life without men since most of them are off at war, and as a successful Martha Stewart like columnist, she writes a homey column in which she describes her country home as the camera pans over what it really is. We meet her boss, Sydney Greenstreet, who has no idea that she is living a lie, and when he pushes his way in for a Christmas away at her supposed Connecticut home, she has to come up with a husband (Reginald Gardiner) and baby before we can say ""Jingle Bells"". Hungarian chef S.Z. Sakall steps in to help and ends up in a cutsey pie one-on-one with Irish Una O'Connor. ""It's not Goulash, It's Irish Stew"". Sakall simply takes the paprika, pours most of it in, and says, ""Now it's goulash"", totally changing what she has prepared for lunch. Then, when it comes to the flapjacks, he flips and she scoops. For years, a few friends of mine and I will use that line every time pancakes come up in a conversation. ""I don't flip. I scoop!"". She won't even flip just one for Greenstreet, saying ""I've never flipped in me life."" O'Connor can get on the nerves when she screeches over and over in some films, but here, she is delightfully lovable, and her pairing with Sakall is very charming.<br /><br />It is obvious in the romance department that Reginald Gardiner is not Barbara Stanwyck's cup of tea, especially when she meets handsome Dennis Morgan, who is a bit dimwitted when bathing the baby, which eats soap, causing Stanwyck to get a bit alarmed. He should suspect something instantly, but doesn't. But it doesn't matter. The film is so charming with the country setting filled with snow, an abundance of rocking chairs, and a dog running towards them as the sleigh comes up. Living in New York City after 25 years in Los Angeles after growing up in a small town on the western side of New York State made me miss this kind of Christmas. While Central Park is beautiful after a first snow and the Christmas tree at Rockefeller Center is exsquisit too, there is something about looking out at a snow-covered field of trees, and catch an occasional glimpse of deer, rabbits, or other wild life.<br /><br />This is a great holiday film that can also bring on the Christmas spirit out of season, and makes a great pairing with another Barbara Stanwyck country Christmas film, ""Remember the Night"", an underrated gem. Add on the big city Christmas of ""Meet John Doe"", and you've found perhaps one of the busiest stars of holiday films around.",positive,negative,0.459166,0.540834,0.000834
"I've only seen about a half dozen films starring Lino Ventura, but this one seems very much like the others. He plays a laconic criminal--one who is short on words and subdued yet occasionally explosive. Given his quiet persona in such films as ARMY OF SHADOWS and SECOND BREATH, I've noticed that his minimalist style of acting is extremely effective. In other words, because he is so quiet and mannered, when he does bad things you tend to notice. And, like these other films, he also has a very strong, though twisted, moral code.<br /><br />Abel Davos (Ventura) and his partner, Lilane, are both living in Italy and are career criminals. Both grew up in France and eventually had to flea due to their criminal activities. Now in Italy as the film begins, they continue to live the life of thugs and the heat is on to catch them. Oddly, instead of running to yet a third country, they decide to go back to France--even though Davos has been tried and convicted in absentia--and if he's caught it could mean a life in prison or the death penalty. Much of the first third of the film concerns their covert return.<br /><br />Unfortunately for Davos, the return doesn't go perfectly and now it seems as if every cop in France is looking for him. Additionally, the reaction of his old compatriots in crime is not at all what he'd expect. In fact, their tepid response to his return ends up unleashing a series of terrible events towards the end of the film.<br /><br />Along the way, Davos meets and is taken in my a stranger, Eric Stark (Jean-Paul Belmondo). Despite Davos seemingly having no friends, Stark and his lady friend try their best to make his return successful. What throws another monkey wrench into this, though, is Davos' two very young sons--what is Davos to do with them--keep them with him in his hiding place? <br /><br />Overall, this is a very good crime film--sort of like French Film Noir. Unlike American Noir, the many French versions I have seen have a more realistic as well as bleak outlook to them. Fatalism reigns supreme, that's for sure! The acting is first-rate (especially from Ventura and Belmondo), the direction very sure and the writing very nice, though I am sure many won't like the ending. It just seems to be tacked on--like an afterthought. I understood why they did it this way, but can also see how it might leave many unsatisfied. As for me, it did leave me a tad flat. Otherwise, an exceptional film.",positive,negative,0.459127,0.540873,0.000873
"When I went to the video rental store, back in the days when DVD was yet next to unknown to me, I had seen all the movies at the store that I was interested in. Or so I thought! The man behind the counter told me he had something for me that I definitely would like. He gave me ""Plunkett and MacLeane"". At first, I doubted it to be any good, but I trusted his advise and... man, I sure am happy I did take this jewel along! This is one of the best adventure movies in years, if you ask me! Of course, with Robert Carlyle as a major part, how bad can a movie get? Surely, Liv Tyler does once more what she's good at and nothing much more: being pretty. But still, you can very clearly sense that the cast apparently had a lot of fun, making this movie.",positive,negative,0.459043,0.540957,0.000957
"King Vladislav (Angus Scrimm) of Romania is a vampire, but a vampire of light who wants nothing more than to live in peace and harmony with mankind. But his son, Radu (Anders Hove), is a cruel creature to his very heart (which is pretty obvious as soon as you see him). Three female students have come to study local folklore, but find themselves drawn into the vampires legends at just the wrong time: Vladislav has been killed.<br /><br />Who can say anything bad about a film featuring a cameo from Angus Scrimm? I can't. I mean, I had some low expectations after seeing other Full Moon pictures (""Puppet Master"" in particular, and ""Demonic Toys""). But despite the really bad animated effects of the demons, this film was actually really well done and very fun to watch. Plenty of blood, a good plot and backstory (the Bloodstone story was surprisingly refreshing) and even some new angles on the vampire mythos, which you'd think would be dead by now. (Maybe I'm wrong, but this is probably the first film to feature rosary beads being fired from a gun.) Aside from vampires and blood, you get a share of nudity (gratuitous, but welcome) and I had to notice the excellent score from the composers (not sure who deserves credit, but those involved include Stuart Brotman, Richard Kosinski, William Levine, Michael Portis and John Zeretzka). This is Horror 101 all the way. Heck, you even get two sequels, which is the sign of a true horror film. (Of course, some bad films get sequels, too -- did I mention ""Puppet Master""?) The Romanian theme was well-done, and the film even seems to have been made by Romanians if I am guessing their name origins correctly. And the score -- the music -- really stood out for me as a nice change of pace, very mood-setting. I like Richard Band, but I'm glad another composer was given a shot because he nailed the atmosphere on the head. If you like vampire films and want a slight variation (one of the Eastern European variety), this is worth seeing.",positive,negative,0.459038,0.540962,0.000962
"Excuse me if I'm wrong, but ""Cronica para un desayuno"" could be one of the most gretatest films in tne mexican movie history for a lot of reasons. We can get a lot of ingredients for a perfect mexican middle-class family breakfast: a cup of Buñuel's surrealistic motifs with a little drop of Ripstenian desolated scenarios; a pound of phallus symbols around the film and a difficult psychological complexity, more than Todd Solondz's Happiness and the Dogma movement films. There`s a lot of sordidness, black humor, repressed dreams (Teodoro's dream of fly), incestual lack of control (the relation between Marcos and Luzma), no-sense parallel stories, a discrete violence, anachronisms and<br /><br />a little sign of hope (spotlighted in Luzma, the husband's home return and ""Un poco Mas"" used for leit-motif). Marcos (Bruno Bichir) is a charming character ( I think in a Bukoskian way), the king-without a-crown who don't expects for anything, but broken noses. Luzma (Maria Rojo) , the lovable wife , put out a lot of faces, but the only thing that she worried is that her sons had breakfast; she' s a loser in many ways and sensual in few moments , but you will fall in love of her. The soundtrack's drag (too much woods) feeds the lack of technical merits, intentional , of course: out-of-focus shots, overlighted close-ups (in introspective scenes), dizzy pans and sudden edition cuts. ""Crónica"" is something difficult to digest, it get stuck in the throat and anything helps for it. It tastes bitter, like a rotten orange juice and sour like expired milk, but you want to enjoy it. So I recommend to get some Melox before the show, because you won't get hungry after all.",positive,negative,0.459029,0.540971,0.000971
"Despite its pedigree, the most interesting things about this series are not the animatronics or puppetry, which, while charming, are little more than sideshows, at least in the story I saw, A STORY SHORT. In fact, loathe though I am to admit it, the programme's chief pleasure lies in that most ancient art, storytelling.<br /><br />John Hurt, in Rowley Birken QC-mode, grotesque, medieval make-up, relates a story about story telling, seated by the fire, accompanied by a cynical dog. One winter's day, starving and poor, he spots a fellow beggar thrown out of the Royal Kitchen by the nasty cook. The Story Teller tricks this latter into giving them an excellent soup. Furious, the Cook pleads with the King for permission to boil the villain, but, pleased with the Story Teller's wit, the monarch offers him a reprieve - for 100 nights, he must tell the King a new story: if he fails to do so, he will hand him over to the cook.<br /><br />The story may be old, but it's told with great gusto. Anthony Minghella's script is excellently dramatic (as befits a playwright), witty, and with some disturbing concerns beneath the fun, such as fears for the self, or the culturally self-generating power of storytelling, linked to the continuation of ideological power. For a programme aimed at children, it is bracingly self-reflexive (with little nonsense about film being the new oral culture); despite the Americanised style, there is a charming sense of medieval bustle, its grotesqueness and arbitrary terror, as well as its magic and power.",positive,positive,0.460983,0.460983,0.000983
"Reanhauer (Bill Roy) is the leader of a desert-dwelling cult who tries to resurrect one of his people, only to have a heart attack himself! He ends up dying on an operating table, and for the sake of revenge, his spirit takes over the body of the title character (Jill Jacobson), who then proceeds to go about hacking and slashing until her fellow nurses learn what needs to be done to exorcise the demon.<br /><br />While I know enough about the directors' filmography to know that it primarily consists of outright schlock, ""Nurse Sherri"" is really not all that bad. Sure, it's clear that this was very low-budget stuff, yet all that I found egregiously cheesy about it were the visual effects. The acting is not as bad as one might expect, either.<br /><br />There are two different versions available of this on DVD. A much more sex-oriented version featuring bountiful amounts of T & A is the original cut, with such hilariously silly vignettes as the victim and and her love interest sharing their ""strangest sex"" moments, including one involving fellatio during a college lecture!<br /><br />The movie would then be re-cut for theatrical version with the horror elements emphasized more strongly. Some scenes are dropped with new ones added (with Stevens, the role played by J.C. Wells, expanded). The movies' most memorable sequence in this cut is a scene in a foundry, and it works quite well. This cut of the movie is more interesting overall; I would recommend that a viewer see them both and compare them.<br /><br />Both versions hit their stride in the final third, and benefit from a marvelously scene-stealing performance from Bill Roy as the crazed Reanhauer, and a moody climax set in a graveyard (although actually filmed in Adamsons' backyard!). Marilyn Joi is also worth mentioning as the cute nurse who is attracted to football player turned patient Marcus Washington (Prentiss Moulden), who's lost his eyes in a car accident, and who incidentally is key to resolving the story with his knowledge of voodoo rituals. The movie also makes amusing use of music from composer Harry Lubins' personal collection, including compositions for such TV series as 'One Step Beyond' and 'The Outer Limits'.<br /><br />""Nurse Sherri"" (known by more alternate titles (including ""Beyond the Living"" and ""Hospital of Terror"") than any other Adamson movie) is actually fairly entertaining low-budget fare. I ended up having a good time watching it.<br /><br />7/10",positive,negative,0.458884,0.541116,0.001116
"I can't describe the feeling when I got this crappy VHS rental cassette in my hands about 20 years ago. Somehow I got my father to rent it for me and I watched it twice with my little brother. Yes, we got nightmares. This film was originally rated as PG in the US, in many other countries, including Finland, it was restricted under 18 or 16. The film was aimed to teenagers, but this must be the goriest PG-rated film ever. There's no bad language or nudity in it what so ever. Originally made in 1981, stayed on the shelves for a couple of years before release.<br /><br />This is an A-class B-movie, a true, well made 80's horror flick. A bunch of college girls decide to spent a night in a mausoleum, not knowing that a supernatural evil awaits... <br /><br />You can almost smell the rotting flesh and feel the atmosphere of this movie. It's campy, utterly stupid, but they just can't make these movies anymore. There is definitely a certain feel to this 80's horror genre. This one is still effectively spooky and entertaining after all these years.<br /><br />The effects are just oozing quality by Ellis Burman Jr and Thomas R. Burman. The make-up effects play a big part in this flick, otherwise it would've been just a boring teen slasher.<br /><br />It's now available on DVD at last and it's a Special Edition DVD including some extras too. Commentary track is interesting.<br /><br />(In fact, this version isn't so special after all. Below average transfer on DVD, some glitches and scratches here and there) At first it was going to be released by the Blue Underground but unfortunately it was canceled, so Shriek Show released it without restoring the print. Too bad!)<br /><br />Great date-movie!<br /><br />Recommended!!!<br /><br />Note! I only gave 8 out of 10 because of the ""nostalgic values"", otherwise 6 out of 10",positive,positive,0.461123,0.461123,0.001123
"Hercules the Avenger is by far the best single entry in the muscleman genre I can recall. The charge against it made by critics - it is a cut and paste of two previous Hercules films, with some added new material to make it appear fresh - misses the fact that this cut-and-paste approach solves one of the central problems of the sword-and-sandal movies. With most of these films, the middle third sags horribly - usually involving a sappy love story or arcane political intrigue or both (queen falls in love with Hercules and her evil brother plots against them, etc.) It's often hard to hold on through this to watch the exciting finale. Hercules the Avenger cuts all that crap from the source films, and adds a rather brisk narrative of a Hercules impersonator bullying his way into power. (It should be noted that this episode also functions as a distant but pointedly critical remark on the rise of Fascism in Italy.) This also sets up a fine final wrasslin' match between the real Hercules and his impersonator.<br /><br />In a narrower focus, I might also add that further editing has improved individual scenes borrowed from the other films. For my money, the mutiny scene here is much better than it first appeared in Hercules and the Captive Women, since it has been tightened with the reduction of several characters and their plot complications.<br /><br />There are also floppy monsters, creepy underworld atmospherics borrowed (literally) from Mario Bava, an entire city destroyed, and the usual amount of lovely babes in revealing gowns. Since no one expects any of these films to compete with The Seven Samurai - or even with The Magnificent Seven - it seems a bit picky to hold the film's borrowing from other films against it.",positive,positive,0.461176,0.461176,0.001176
"Quintet marks the only venture of both Paul Newman and director Robert Altman into the realm of science fiction. It was said of Newman that he could not do comedy, but he tried until he finally scored a real success in that genre with Slap Shot. But the failure of this film left him gun shy and he never tried it again.<br /><br />This is one of the biggest downer films I've ever seen. It's a futuristic ice age, brought on by who knows what, but presumably it's a nuclear winter. Even during the ice age of thousands of years ago, the equatorial parts of the earth still sustained animal and human life, but apparently not here. Seals have survived and Paul Newman is a seal hunter on the outside.<br /><br />But hunters do need a little R&R and Newman goes to a futuristic city where things are so boring the natives have some kind of game played with six people and it's a kind of Russian roulette. To win you have to kill five other participants in your game.<br /><br />It's a sad turn to see what man has come down to. Which is one of the reasons I just could not get into this story. The atmosphere is bleak, the story is bleak, the people are bleak, it's all so bleak. No wonder this thing came up short at the box office.<br /><br />It's a film that just about everyone thinks is never going to be on the top ten list of Paul Newman films, including me.<br /><br />This is man's future, what a bummer.",negative,positive,0.46122,0.46122,0.00122
"The make -or-break of a love story for me is whether or not I like the characters and also if they click with each other. Matt is pretty unlikeable: aloof, braggart, seemingly lazy, and a misogynist. He's been hurt badly by his dysfunctional mom and this makes him a little easier to take. I guess I liked the details of his dysfunction--he was believable. He overcompensates by bragging that he'l nail Amy. He acts so cool around Amy that he strikes out twice. When they do talk he can't show her who he really is. She empathizes and then stonewalls him at just the right moments. She seems so mature and strong that the traits of hers that come out later didn't seem to fit. (For me.) I found her to be incredibly sexy and pretty, . . . girl next door pretty, I call it. So I was going to like this movie unless it really screwed up.<br /><br />Funny things happen with the coach, but Matt's relationship with the other coach was inspiring. The football scenes at the end were perplexing. Matt doesn't carry the ball but seems to be a blocking back. Folks, he isn't the right size! He's fifty pounds too light for that position. But I thought his acting was skilled. I measure that by the way I wanted to wring his neck a couple of times during his scenes with Meredith Monroe. The film was all right. Meredith M was better than all right.",positive,negative,0.458776,0.541224,0.001224
